Country/Region,Developer Count
United States,4331264
Brazil,2593480
India,2319526
China,1782055
Germany,814888
United Kingdom,737391
France,678332
Canada,549545
Indonesia,517629
Spain,465403
Russia,446356
South Korea,402647
Italy,390105
Mexico,382243
Japan,358985
Argentina,322061
Bangladesh,298616
Netherlands,297446
Vietnam,268619
Poland,258931
Australia,245126
Türkiye,218966
Colombia,215784
Pakistan,211619
Nigeria,210589
Philippines,202868
Ukraine,190186
Switzerland,167816
Egypt,154713
Iran,152794
South Africa,138287
Sri Lanka,136275
Sweden,130940
Belgium,126915
Nepal,114186
Portugal,104078
Thailand,97292
Czechia,91349
Austria,86950
Malaysia,82551
Morocco,80539
Romania,78058
Denmark,77825
Israel,74970
Chile,74923
Norway,73285
Kenya,71928
Uzbekistan,71694
Peru,69729
Greece,64908
Saudi Arabia,61586
Ireland,60463
New Zealand,59667
Finland,59527
Venezuela,51899
Tunisia,50354
Algeria,50307
Hungary,47593
United Arab Emirates,46798
Belarus,45394
Bulgaria,44130
Ghana,43522
Serbia,42165
Hong Kong,40433
Ecuador,37298
Kazakhstan,36409
Ethiopia,34349
Iraq,33835
Singapore,33226
Slovakia,32337
Uganda,30512
Croatia,30184
Cameroon,29997
Bosnia and Herzegovina,29904
Costa Rica,28032
Dominican Republic,26207
Myanmar,24616
Democratic Republic of the Congo,21387
Tanzania,21340
Slovenia,20638
Rwanda,20263
Uruguay,19795
Lithuania,18813
Estonia,18485
Georgia,17970
Jordan,17970
Bolivia,17924
Angola,15911
Paraguay,15864
Lebanon,15256
Azerbaijan,15022
Guatemala,14788
Cambodia,14554
Kyrgyzstan,14414
Latvia,14273
Senegal,13899
Moldova,13852
Armenia,13571
Madagascar,12869
Syria,12869
North Macedonia,12823
Yemen,12355
Côte d'Ivoire,12261
Afghanistan,12121
Mozambique,11887
El Salvador,11699
Somalia,11465
Cyprus,11372
Honduras,11185
Puerto Rico,10951
Cuba,10295
Benin,10249
Nicaragua,9921
Iceland,9781
Panama,9687
Zimbabwe,9313
Luxembourg,8564
Zambia,8143
Libya,7020
Sudan,6645
Laos,6364
Oman,6318
Malta,6177
Albania,6130
Antarctica,6037
Togo,6037
Montenegro,5990
Mongolia,5897
Malawi,5663
Haiti,5195
Réunion,5101
Tajikistan,5101
Jamaica,4914
Mauritius,4914
Fiji,4305
North Korea,4305
Macao,3931
Qatar,3931
Burkina Faso,3744
Cabo Verde,3603
Namibia,3603
Sierra Leone,3416
Kuwait,3276
Guinea,3229
Trinidad and Tobago,3089
Botswana,3042
Turkmenistan,2995
Bahrain,2948
Bhutan,2948
The Gambia,2855
Mali,2808
Republic of the Congo,2808
French Polynesia,2761
Liberia,2667
Bahamas,2621
Papua New Guinea,2574
Mauritania,2387
New Caledonia,2387
Burundi,2340
Niger,2246
Chad,2153
Andorra,2059
U.S. Virgin Islands,2012
Eswatini,1872
Maldives,1825
Gabon,1778
Cayman Islands,1685
Lesotho,1591
South Sudan,1416
Guyana,1408
Greenland,1400
Cocos (Keeling) Islands,1392
Jersey,1365
Guadeloupe,1357
Belize,1349
Liechtenstein,1310
Monaco,1264
Seychelles,1217
Timor-Leste,1123
Brunei,1076
Martinique,1030
British Virgin Islands,983
Tonga,944
French Guiana,936
Barbados,928
Åland Islands,909
Suriname,901
Saint Kitts and Nevis,893
Northern Mariana Islands,885
Guam,877
Faroe Islands,869
Isle of Man,846
Curaçao,838
Svalbard and Jan Mayen,800
Saint Vincent and the Grenadines,792
Vatican City,757
Vanuatu,749
San Marino,741
Saint Lucia,671
Guernsey,663
Equatorial Guinea,655
Dominica,647
Bermuda,639
São Tomé and Príncipe,612
Antigua and Barbuda,604
Turks and Caicos Islands,574
Gibraltar,566
Eritrea,558
Comoros,550
Solomon Islands,527
Guinea-Bissau,519
Grenada,511
Djibouti,503
Samoa,433
Cook Islands,425
Central African Republic,417
Aruba,409
Saint Pierre and Miquelon,390
Micronesia,382
Mayotte,374
Marshall Islands,366
Caribbean Netherlands,358
"Saint Helena, Ascension and Tristan da Cunha",336
Palau,328
French Southern and Antarctic Lands,320
American Samoa,281
Wallis and Futuna,250
United States Minor Outlying Islands,242
Tuvalu,234
Sint Maarten,226
Christmas Island,218
Saint Barthélemy,191
Kiribati,183
Tokelau,160
Pitcairn Islands,152
Niue,144
Montserrat,136
Bouvet Island,128
Anguilla,120
Norfolk Island,98
Nauru,90
Heard Island and McDonald Islands,47
